sinco,isco,match
7999,7000,100.0
8121,3000,50.0
8142,8000,66.7
8181,3000,50.0
8199,8000,66.7
8201,3000,50.0
8322,8000,50.0
9621,9000,75.0
9633,8000,50.0
9641,8000,50.0
9642,8000,50.0
1319,1300,999.0
1329,1300,999.0
1619,1300,999.0
1629,1300,999.0
1999,1300,999.0
2334,2300,999.0
2399,2300,999.0
2639,7230,999.0
2640,3130,999.0
2649,7400,999.0
4999,5200,999.0
5201,5152,999.0
5299,5200,999.0
5301,5410,999.0
6101,6100,999.0
6117,6100,999.0
6119,6100,999.0
6128,6200,999.0
6129,6100,999.0
6201,6200,999.0
7299,7210,999.0
8301,8300,999.0
8349,8300,999.0
9213,9300,999.0
9311,9300,999.0
9599,9500,999.0
9733,9600,999.0
9999,9600,999.0
