countrycode,period,group,emp,emp_ref,index,n
GEO,2024Q2,2.0,241123.00524788382,222022.85497599788,108.6027856339163,
GEO,2024Q2,3.0,345558.34882258595,355226.2613499736,97.2783789997264,
GEO,2024Q2,4.0,353329.47257619747,333770.08064518345,105.86013937894174,
GEO,2024Q2,5.0,273107.74846548995,239581.98948919834,113.99343875880248,
GEO,2024Q3,1.0,169250.5747917238,122110.38189755863,138.60457412516504,
GEO,2024Q3,2.0,229705.1470235247,222022.85497599788,103.46013569114646,
GEO,2024Q3,3.0,358459.6829180369,355226.2613499736,100.91024282826817,
GEO,2024Q3,4.0,357088.77708681504,333770.08064518345,106.98645498618573,
GEO,2024Q3,5.0,283984.55299543403,239581.98948919834,118.53334785344438,
GEO,2024Q4,1.0,153215.53465413075,122110.38189755863,125.47297967069416,
GEO,2024Q4,2.0,239925.7931683788,222022.85497599788,108.06355642724996,
GEO,2024Q4,3.0,355870.7366338678,355226.2613499736,100.18142670011078,
GEO,2024Q4,4.0,367415.4578767635,333770.08064518345,110.08040539959212,
GEO,2024Q4,5.0,284984.5279057007,239581.98948919834,118.95073102669488,
GEO,2025Q1,1.0,152508.93375423786,122110.38189755863,124.89432215696559,
GEO,2025Q1,2.0,237725.9655293153,222022.85497599788,107.07274508068775,
GEO,2025Q1,3.0,349072.74242117646,355226.2613499736,98.2677184661371,
GEO,2025Q1,4.0,372520.10956059233,333770.08064518345,111.60979703168852,
GEO,2025Q1,5.0,271223.08173492353,239581.98948919834,113.20679084149259,
GEO,2025Q2,1.0,160138.35395204052,122110.38189755863,131.1422922961493,
GEO,2025Q2,2.0,233477.62847540682,222022.85497599788,105.15927673331075,
GEO,2025Q2,3.0,352547.2271251348,355226.2613499736,99.24582315095239,
GEO,2025Q2,4.0,356905.6146160249,333770.08064518345,106.93157814688483,
GEO,2025Q2,5.0,250375.67650952528,239581.98948919834,104.50521637429411,
GEO,2025Q3,1.0,165821.96694195148,122110.38189755863,135.79678022877985,
GEO,2025Q3,2.0,234584.60143950867,222022.85497599788,105.65786187411598,
GEO,2025Q3,3.0,348743.4068796026,355226.2613499736,98.17500698125919,
GEO,2025Q3,4.0,373210.88880327914,333770.08064518345,111.8167596334147,
GEO,2025Q3,5.0,263929.2027672343,239581.98948919834,110.1623721089993,
GEO,2025Q4,1.0,153678.2247000904,122110.38189755863,125.8518909792738,
GEO,2025Q4,2.0,234642.83097864175,222022.85497599788,105.68408869618767,
GEO,2025Q4,3.0,357764.9007296704,355226.2613499736,100.71465419534276,
GEO,2025Q4,4.0,358210.26143201767,333770.08064518345,107.32246004183207,
GEO,2025Q4,5.0,286842.04399269214,239581.98948919834,119.72604643790412,
MEX,2021Q1,1.0,8195559.0,8611116.75,95.17417122465562,
MEX,2021Q1,2.0,12633766.0,13766746.0,91.77016849152298,
MEX,2021Q1,3.0,6515827.0,7118338.0,91.53579107932217,
MEX,2021Q1,4.0,6564342.0,7134946.5,92.00268004812649,
MEX,2021Q1,5.0,13974328.0,15297674.0,91.34936461582329,
MEX,2021Q2,1.0,8537862.0,8611116.75,99.1493002344905,
MEX,2021Q2,2.0,13004224.0,13766746.0,94.46113119251274,
MEX,2021Q2,3.0,6879281.0,7118338.0,96.64167394130484,
MEX,2021Q2,4.0,6795194.0,7134946.5,95.23819134453215,
MEX,2021Q2,5.0,14837770.0,15297674.0,96.99363445710766,
MEX,2021Q3,1.0,8729499.0,8611116.75,101.3747607126567,
MEX,2021Q3,2.0,13379572.0,13766746.0,97.1876142699226,
MEX,2021Q3,3.0,6713827.0,7118338.0,94.31733924407635,
MEX,2021Q3,4.0,6909631.0,7134946.5,96.84208564142702,
MEX,2021Q3,5.0,14916066.0,15297674.0,97.50545082866846,
MEX,2021Q4,1.0,8676779.0,8611116.75,100.7625288555053,
