countrycode,period,group,emp,emp_ref,index,n
NGA,2024Q3,2.0,36583981.98378754,,,
NGA,2024Q3,3.0,12039356.388244629,,,
NGA,2024Q3,4.0,28310902.05139923,,,
NGA,2024Q3,5.0,6059122.822052002,,,
NGA,2024Q4,1.0,6055266.630638123,,,
NGA,2024Q4,2.0,37809092.01189041,,,
NGA,2024Q4,3.0,12023458.220993042,,,
NGA,2024Q4,4.0,28840920.20727539,,,
NGA,2024Q4,5.0,4807271.067840576,,,
NGA,2025Q1,1.0,6622728.7543029785,,,
NGA,2025Q1,2.0,37713493.9743042,,,
NGA,2025Q1,3.0,11573186.739624023,,,
NGA,2025Q1,4.0,30858341.37802124,,,
NGA,2025Q1,5.0,6203523.065490723,,,
NGA,2025Q2,1.0,5436648.652267456,,,
NGA,2025Q2,2.0,33554470.26132202,,,
NGA,2025Q2,3.0,10318166.143936157,,,
NGA,2025Q2,4.0,29073793.18636322,,,
NGA,2025Q2,5.0,4913983.868057251,,,
PER,2022Q1,1.0,3802506.0528267957,3829693.1779634524,99.29009652018352,
PER,2022Q1,2.0,3651505.4666341343,3677087.3699730868,99.3042889448901,
PER,2022Q1,3.0,2237564.5529407864,2290287.2144179,97.69798909301804,
PER,2022Q1,4.0,4323468.367843989,4465536.771499619,96.8185593149215,
PER,2022Q1,5.0,2071305.890952333,2084080.25273037,99.38705039015167,
PER,2022Q2,1.0,3881628.6258240617,3829693.1779634524,101.3561255548996,
PER,2022Q2,2.0,3738393.9501355183,3677087.3699730868,101.66725927327857,
PER,2022Q2,3.0,2269359.8434749055,2290287.2144179,99.08625560972214,
PER,2022Q2,4.0,4555640.65998763,4465536.771499619,102.0177616510311,
PER,2022Q2,5.0,2031108.0328093155,2084080.25273037,97.45824471722453,
PER,2022Q3,1.0,3765770.8946341206,3829693.1779634524,98.33087716537844,
PER,2022Q3,2.0,3686631.5435973816,3677087.3699730868,100.25955797793199,
PER,2022Q3,3.0,2347289.4568381724,2290287.2144179,102.48886873495297,
PER,2022Q3,4.0,4514845.409515421,4465536.771499619,101.10420405292605,
PER,2022Q3,5.0,2066597.452142668,2084080.25273037,99.16112632587937,
PER,2022Q4,1.0,3868867.1385688325,3829693.1779634524,101.02290075953843,
PER,2022Q4,2.0,3631818.519525312,3677087.3699730868,98.76889380389932,
PER,2022Q4,3.0,2306935.0044177356,2290287.2144179,100.72688656230686,
PER,2022Q4,4.0,4468192.648651436,4465536.771499619,100.05947498112137,
PER,2022Q4,5.0,2167309.635017163,2084080.25273037,103.99357856674443,
PER,2023Q1,1.0,3567310.8007386676,3829693.1779634524,93.14873633390354,
PER,2023Q1,2.0,3547175.9147239192,3677087.3699730868,96.46700112948041,
PER,2023Q1,3.0,2201575.037603205,2290287.2144179,96.12659162325883,
PER,2023Q1,4.0,4514957.332662569,4465536.771499619,101.10671042904332,
PER,2023Q1,5.0,2161882.4517659973,2084080.25273037,103.73316713373673,
PER,2023Q2,1.0,3628108.4989028494,3829693.1779634524,94.73627077436524,
PER,2023Q2,2.0,3596399.4813093077,3677087.3699730868,97.8056575613984,
PER,2023Q2,3.0,2290658.141966384,2290287.2144179,100.0161956782603,
PER,2023Q2,4.0,4585030.867716811,4465536.771499619,102.67591786456308,
PER,2023Q2,5.0,2162304.4003713327,2084080.25273037,103.753413408072,
PER,2023Q3,1.0,3469748.0274191955,3829693.1779634524,90.60120135431664,
